Origin;Number
Архангельская;33
Астраханская;524
Бессарабская;7193
Виленская;6744
Витебская;22478
Владимирская;188
Вологодская;1587
Волынская;8644
Воронежская;24604
Вятская;6149
Гродненская;1223
Донская область;6672
Екатеринославская;8663
Казанская;1199
Калужская;7031
Киевская;33522
Ковенская;504
Костромская;1742
Курляндская;535
Курская;14428
Лифляндская;1783
Минская;19578
Могилевская;40895
Московская;18
Нижегородская;1031
Новгородская;274
Олонецкая;53
Оренбургская;3883
Орловская;16328
Пензенская;6409
Пермская;1994
Подольская;5157
Полтавская;28424
Псковская;3851
Рязанская;6938
Самарская;10037
Санкт-Петербургская;1270
Саратовская;4934
Симбирская;1418
Смоленская;6753
Таврическая;5351
Тамбовская;16553
Тверская;410
Тульская;4312
Уфимская;2854
Харьковская;19260
Херсонская;3214
Черниговская;45163
Эстляндская;458
Ярославская;34
Варшавская;16
Калишская;11
Келецкая;
Ломжинская;6
Люблинская;679
Петроковская;6
Плоцкая;0
Радомская;17
Сувалкская;66
Седлецкая;139
Бакинская;17
Елисаветпольская;117
Карсская обл.;292
Кубанская обл.;503
Кутаисская;4
Ставропольская;819
Терская обл.;45
Черноморская;13
Тобольская;36121
Томская;246137
Енисейская;56593
Иркутская;16135
Забайкальская;1902
Амурская;19042
Приморская;83875
Сахалин;50
Акмолинская;76419
Семипалатинская;9869
Тургайская;16785
Уральская;409
Семиреченская;2099
Сырдарьинская;1521
Ферганская;106
Самаркандская;120
