Origin;EDGE;year_1896;year_1897;year_1898;year_1899;year_1900;year_1901;year_1902;year_1903;year_1904;year_1905;year_1906;year_1907;year_1908;year_1909;year_1910;year_1911;year_1912;year_1913;year_1914;year_1915;year_1916
Архангельская;N301;16;0;0;18;180;12;0;0;0;0;0;33;0;0;18;8;0;5;3;1;0
Астраханская;N302;197;25;46;93;95;31;46;9;10;11;154;598;196;122;124;152;826;177;43;10;10
Бессарабская;N303;838;241;103;145;589;573;915;635;605;214;1977;8289;8598;11460;12633;2645;1478;5207;4364;117;108
Виленская;N304;586;1057;6542;2420;4578;2681;3201;4413;133;82;1358;8271;4182;2104;1059;1281;1213;844;1069;129;470
Витебская;N305;7203;7849;10589;3557;11906;7719;8302;14161;442;716;9538;28309;26910;14444;6965;6679;4759;3384;3373;154;216
Владимирская;N306;53;11;106;261;71;96;39;40;2;27;111;327;253;229;74;101;136;215;76;5;8
Вологодская;N307;157;303;270;1225;1488;716;264;489;417;1387;1092;2317;5296;2198;365;387;740;592;717;219;203
Волынская;N308;453;947;1368;2053;2709;2394;1027;1178;124;523;893;10970;12793;12118;9782;5182;3447;3382;4965;391;88
Воронежская;N309;5909;4208;10260;13397;10822;3072;4054;5071;1928;2061;12938;35287;44766;45499;13060;6812;10963;15593;19032;1483;577
Вятская;N310;1338;1413;5696;8664;4677;4171;3807;4657;1760;1326;9966;13533;18132;11381;3968;8605;22907;20895;14840;1307;449
Гродненская;N311;1640;860;4046;3483;4107;1170;887;1480;222;174;949;1890;2497;4135;3181;2157;968;794;856;347;175
Войска_Донского;N312;898;452;969;1365;2262;617;948;1079;871;1372;5460;8752;8578;8417;3375;2509;2493;7691;7582;375;185
Екатеринославская;N313;2287;2310;1675;3581;8174;6088;5731;5935;4531;2991;9141;12145;28994;48142;35137;17206;10336;23695;28332;3413;1543
Казанская;N314;399;155;3222;3095;705;506;458;698;141;33;1484;2261;5355;6624;2579;6301;11877;8496;5343;967;335
Калужская;N315;1078;1419;1746;659;605;312;145;207;105;90;930;10100;7871;3885;1774;798;433;483;350;115;65
Киевская;N316;2156;1567;4164;4420;5395;4752;4346;3323;3178;3759;11580;42314;50871;40220;22582;10351;5753;4634;8278;870;271
Ковенская;N317;194;303;103;299;201;111;86;118;11;17;71;669;950;640;165;134;0;75;64;35;60
Костромская;N318;107;94;517;723;463;772;566;359;190;179;3710;5291;5953;1242;372;776;1443;1420;839;131;97
Курляндская;N319;556;939;215;119;156;61;96;185;20;5;81;698;420;368;228;275;226;155;84;40;72
Курская;N320;13746;4316;12237;17997;19893;6344;2580;2468;773;666;3126;21314;56613;72315;19213;5887;4005;6113;10167;1013;165
Лифляндская;N321;728;2494;889;817;1160;521;592;1206;88;52;547;2556;2101;1802;1222;711;341;389;286;24;93
Минская;N322;1046;1847;7418;3044;7043;3237;4101;4651;261;185;3692;26420;22736;10061;4015;3696;3140;3272;3842;346;219
Могилёвская;N323;1746;3827;11204;7058;16326;8571;10231;12701;825;954;10638;52736;52842;30646;1365;10936;9265;9088;7421;367;280
Московская;N324;6;4;30;60;20;4;1;1;0;3;25;38;25;285;16;12;0;26;4;1;1
Нижегородская;N325;377;235;1512;1910;1289;1294;1055;272;226;72;1211;2212;1614;1252;458;861;1536;1357;1059;73;7
Новгородская;N326;483;283;53;143;95;43;16;48;0;9;206;518;685;943;383;411;642;411;140;54;34
Олонецкая;N327;0;0;0;0;10;0;0;0;0;0;1;53;0;0;13;2;0;7;2;6;0
Оренбургская;N328;170;301;755;1035;318;182;219;257;138;210;1356;5095;4375;2697;614;5266;6561;2169;1550;123;36
Орловская;N329;16538;6123;16660;8911;5028;2968;2113;2460;381;248;4427;22828;31759;32047;9564;5464;4141;6969;10598;851;125
Пензенская;N330;6068;1014;4766;7561;3648;1916;2321;2908;1942;1267;7386;11314;8414;12212;4745;4289;12823;14584;14613;1267;376
Пермская;N331;182;823;4469;7131;3106;1406;1661;2539;1283;211;1630;2545;6430;4302;692;2603;7389;6782;4091;358;188
Подольская;N332;146;316;156;286;1632;2994;2571;1717;1729;2253;8756;6793;12127;19828;15148;8209;3751;5219;40;674;300
Полтавская;N333;39719;7521;5772;15103;33834;14910;13763;10582;4889;7792;12381;38784;62470;61450;38665;20505;11321;19864;7048;1060;353
Псковская;N334;816;1003;428;390;733;1133;988;2429;249;148;980;4815;4921;3462;1778;1486;1182;868;21277;58;36
Рязанская;N335;2644;1131;6466;5419;1416;737;630;520;198;235;3021;9864;5425;7964;3030;1946;3356;3940;578;405;69
Самарская;N336;4170;1267;17374;24924;5421;1366;1779;2361;826;463;19085;14436;34056;16489;3002;4958;15678;11859;4201;999;270
Санкт-Петербургская;N337;85;12;84;27;28;35;44;106;5;0;370;1538;820;268;131;81;110;47;11982;1;30
Саратовская;N338;3648;1266;4666;10132;4015;1138;1957;2601;499;415;9629;8355;20622;17619;3411;4175;10751;13148;8264;688;112
Симбирская;N339;2288;321;4745;7727;2466;2556;2721;1725;373;206;3215;3363;5388;5972;2247;4992;10027;10748;7016;654;140
Смоленская;N340;4187;2273;2389;884;2373;3141;1306;2367;405;274;2723;11548;15831;13429;5808;3020;3485;2298;2334;340;112
Таврическая;N341;202;667;886;1820;3772;4020;4151;4149;1991;1700;6237;7084;21251;29636;16293;7022;5461;14141;16317;873;326
Тамбовская;N342;7040;3819;21969;19394;7364;3968;4010;3343;642;280;6576;28045;24532;26894;6611;5520;12295;18255;20315;1376;376
Тверская;N343;237;264;30;52;211;211;22;65;7;12;245;619;793;1088;339;490;581;146;32;13;6
Тульская;N344;5713;1649;7862;4050;1391;593;514;363;113;184;690;5954;3621;3087;1829;1309;1439;2485;3287;370;100
Уфимская;N345;893;434;3582;3509;1411;497;787;908;256;101;1509;4160;6180;5264;1508;3061;11821;11596;6085;645;270
Харьковская;N346;9008;3208;4542;8791;13438;4371;4435;3287;3585;2010;9733;25103;38030;34878;28333;14255;9317;15174;20167;1370;888
Херсонская;N347;3964;3567;1574;3140;4936;4256;2897;4562;6920;4117;6631;4705;17152;26905;24377;14681;9591;24702;25873;2060;736
Черниговская;N348;37765;11918;8855;9145;16580;11133;7875;3530;2420;3591;14565;57365;55624;34720;18376;10346;6026;8802;12556;1028;381
Эстляндская;N349;21;8;6;7;13;64;118;149;28;92;333;624;1783;832;311;361;180;110;51;6;0
Ярославская;N350;0;0;2;6;0;0;0;0;0;0;0;34;0;0;26;9;0;2;12;1;0
Варшавская;N351;25;78;9;26;0;1;0;0;1;19;2;16;0;0;21;0;0;2;3;6;0
Калишская;N352;39;25;6;0;0;0;0;0;7;0;6;11;0;0;18;0;0;8;17;0;0
Келецкая;N353;8;0;0;0;0;0;0;0;0;0;0;0;0;0;686;60;0;26;32;0;0
Ломжинская;N354;2;0;11;17;15;6;1;0;0;0;0;6;0;0;0;3;0;1;1;0;0
Люблинская;N355;11;13;4;231;91;80;19;25;561;1885;1123;920;915;1093;200;146;202;140;110;8;0
Петроковская;N356;0;68;6;2;13;13;0;0;0;5;17;6;0;0;484;321;163;86;24;2;0
Плоцкая;N357;18;19;10;14;6;0;0;0;0;0;11;0;0;0;6;1;0;1;8;8;0
Радомская;N358;3;8;0;17;12;7;11;0;0;0;0;17;0;0;75;7;0;6;2;0;0
Сувалкская;N359;0;0;3;0;5;7;0;6;6;0;0;66;0;0;6;8;0;16;4;0;0
Седлецкая;N360;5;9;24;56;92;72;0;77;5;18;43;139;0;0;33;118;120;83;2;0;0
Бакинская;N361;0;0;0;1;6;1;0;0;0;0;31;17;9;2;0;2;0;2;0;0;0
Дагестанская;N362;0;0;3;1;1;10;1;0;0;0;30;0;6;0;0;0;0;0;6;0;0
Елизаветпольская;N363;0;0;0;0;1;0;0;0;0;0;49;125;113;55;9;8;0;18;6;1;5
Карсская;N364;0;0;0;0;0;0;1;16;100;27;19;297;240;37;104;0;0;5;0;0;0
Кубанская;N365;172;140;178;177;343;163;123;247;89;49;418;756;2090;4688;1203;587;815;1259;321;145;31
Кутаисская;N366;4;0;0;6;17;4;3;2;5;0;7;8;5;9;15;0;0;9;0;0;0
Ставропольская;N367;104;97;263;141;256;102;172;581;190;286;710;1197;2866;5805;5193;3563;6881;7822;0;314;0
Терская;N368;13;20;6;39;46;46;122;122;18;1;34;66;374;922;362;153;159;372;40;21;26
Тифлисская;N369;0;0;4;0;0;0;1;0;0;0;12;4;19;3;30;6;0;0;1;11;0
Черноморская;N370;110;132;2;0;0;0;0;1;1;0;41;19;183;75;7;29;0;3;39;6;0
Эриванская;N371;0;0;0;5;0;2;0;0;0;0;2;4;0;6;0;0;0;0;4;0;0
Киевская;N700;231;784;2521;2057;4615;;;;;;;;;;;;;;;;
Черниговская;N720;3;746;730;;;;;;;;;;;;;;;;;;
Полтавская;N725;497;338;882;1000;949;;;;;;;;;;;;;;;;
Бессарабская;N727;;47;;;33;;;;;;;;;;;;;;;;
Волынская;N730;;18;195;250;367;;;;;;;;;;;;;;;;
Харьковская;N771;;;12;62;210;;;;;;;;;;;;;;;;
Подольская;N735;;;;23;;;;;;;;;;;;;;;;;
Таврическая;N775;;;;;50;;;;;;;;;;;;;;;;
Курская;N770;;33;;;;;;;;;;;;;;;;;;;
ВСЕГО;;191041;88642;207060;226601;225489;120125;110930;125500;46732;44029;216648;576979;758812;707463;352950;226062;259585;327430;336409;28185;11201
