Destinatoin;EDGE;year_1896;year_1897;year_1898;year_1899;year_1900;year_1901;year_1902;year_1903;year_1904;year_1905;year_1906;year_1907;year_1908;year_1909;year_1910;year_1911;year_1912;year_1913;year_1914;year_1915;year_1916
Самарская;N570;0;0;0;0;0;0;0;1436;1716;1594;1121;676;1163;4993;16289;12188;4473;3345;2;0;0
Уфимская;N571;0;0;0;0;0;0;0;5643;4402;5132;3645;1443;3446;6240;8413;6937;2539;1681;7;0;0
Оренбургская;N561;140;1108;3286;9207;7281;11094;6855;7810;5695;4490;5145;4108;7677;12532;13163;6425;2533;2987;653;38;24
Симбирская;N572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;856;1199;603;902;0;0;0
Пермская;N563;0;0;0;41;305;1300;726;1307;258;111;689;1861;918;740;460;163;45;100;310;16;10
Тобольская;N171;44119;19649;26209;12698;13560;7904;8211;9387;920;1739;15223;36121;30842;32236;20393;16493;12450;22869;23645;2730;1061
Томская;N178;75419;36654;105862;122006;95737;39337;25243;35107;6014;5133;47860;246137;359583;302168;98308;69305;106639;100131;86263;8459;2736
Енисейская;N180;20195;6710;28190;26399;34459;19757;18964;22578;1339;1059;18027;56593;66208;58523;23077;20489;31207;29114;21932;1799;915
Иркутская;N182;176;327;4031;5379;7104;10424;10368;3819;450;455;8113;16135;19132;18178;12286;11837;19403;15014;11626;1088;423
Забайкальская;N184;3;25;189;590;970;1599;1445;972;153;114;2470;1902;675;1172;1580;2212;4215;4068;2734;144;33
Амурская;N185;1954;1344;4034;1540;7189;4106;9503;4888;58;37;4956;19042;10708;27411;22657;6783;4963;10328;19902;663;167
Приморская;N226;787;2066;4877;4450;12679;4596;8706;9868;199;128;15899;83875;27947;25680;13723;10508;12937;13011;16639;619;140
Сахалин;N586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;24;12;6
Камчатская;N592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;28;0;0
Якутская;N614;0;0;0;9;8;62;6;19;1;0;9;0;7;8;0;0;0;8;1;0;5
Акмолинская;N168;46434;17774;24586;32090;36454;11196;9659;8938;5103;11092;61771;76419;140350;107868;56945;26806;22214;45223;54853;5683;2209
Семипалатинская;N175;1602;424;1384;4333;3091;922;481;546;298;358;4011;9869;22951;35586;13434;4220;6619;19349;31867;2449;1065
Тургайская;N164;105;478;1560;4668;5207;6822;9914;12873;20101;12477;25949;16785;48961;49069;32667;20202;8134;22787;30351;3703;1465
Уральская;N621;0;0;0;0;0;0;0;17;12;15;19;409;6135;13109;9556;3108;1978;13172;17762;5;577
Семиреченская;N159;99;140;212;1016;732;438;315;233;0;21;565;2099;7624;5779;4018;5380;13257;18491;14222;456;130
Сырдарьинская;N154;0;0;0;0;0;0;0;0;0;56;999;1521;3580;5101;1777;1790;1556;4787;2563;107;32
Ферганская;N152;0;0;0;0;0;0;0;0;0;14;56;106;758;635;218;0;607;0;720;60;40
Самаркандская;N650;0;0;0;0;0;0;0;0;0;0;0;0;0;49;130;0;103;0;273;154;37
Закаспийская;N646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
ВСЕГО;;191033;86699;204420;224426;224776;119557;110396;125444;46719;44029;216646;576211;758770;707077;352950;226062;259585;327430;336409;28185;11201 
